Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rich Manning,211,114,University of Washington,1970,81,713,113,277,27,42,4,9,109,268,48,85,133,13,11,10,31,95,257
Richard Anderson,208,108,"University of California, Santa Barbara",1960,325,4698,634,1576,188,244,186,557,448,1019,301,742,1043,410,173,56,221,475,1642
Richard Coffey,198,96,University of Minnesota,1965,52,320,28,75,12,22,0,1,28,74,42,37,79,3,6,4,5,45,68
Richard Dumas,190,77,Northeastern State University,1970,102,2226,434,852,209,301,3,13,431,839,160,191,351,111,137,47,150,228,1080
Richard Hamilton,198,83,University of Connecticut,1978,921,29559,5969,13288,3240,3805,530,1530,5439,11758,794,2058,2852,3125,714,131,1977,2329,15708
Richard Jefferson,201,105,University of Arizona,1980,1224,35878,5341,11563,3617,4717,1153,3031,4188,8532,941,3980,4921,2485,822,365,1813,2747,15452
Richard Morton,190,86,"California State University, Fullerton",1966,2,11,3,4,0,0,0,0,3,4,0,0,0,1,0,0,1,2,6
Richard Petruska,208,117,"University of California, Los Angeles",1969,22,92,20,46,6,8,7,15,13,31,9,22,31,1,2,3,15,15,53
Richard Rellford,198,104,University of Michigan,1964,4,42,5,8,6,8,0,0,5,8,2,5,7,1,0,3,4,3,16
Richaun Holmes,208,111,Bowling Green State University,1993,108,1895,344,634,123,177,35,121,309,513,156,290,446,91,61,95,87,228,846
Richie Frahm,196,95,Gonzaga University,1977,173,1815,217,533,58,73,118,337,99,196,39,158,197,104,41,12,43,152,610
Rick Brunson,193,86,Temple University,1972,426,5399,476,1263,238,341,118,326,358,937,100,427,527,1024,242,26,428,449,1308
Rick Calloway,198,81,University of Kansas,1966,64,678,75,192,55,79,0,2,75,190,25,53,78,61,22,7,51,98,205
Rick Carlisle,196,95,University of Virginia,1959,188,1461,178,422,55,71,11,48,167,374,44,97,141,201,42,9,120,187,422
Rick Fox,201,104,University of North Carolina,1969,930,23723,3382,7519,1431,1858,771,2208,2611,5311,996,2521,3517,2649,967,355,1611,2739,8966
Rick Hughes,196,97,Loyola University of Chicago,1962,21,224,35,72,12,26,0,1,35,71,24,25,49,9,3,1,14,30,82
Rick Mahorn,208,108,Hampton University,1958,821,16695,1890,3878,1116,1498,5,32,1885,3846,1258,3263,4521,661,407,554,944,2323,4901
Rick Robey,211,104,University of Kentucky,1956,50,677,74,200,34,50,0,3,74,197,43,113,156,63,21,5,74,99,182
Rickey Brown,208,97,Mississippi State University,1958,69,814,78,192,39,68,0,0,78,192,76,147,223,25,19,22,51,117,195
Rickey Green,183,77,University of Michigan,1954,619,12933,1934,4154,925,1084,38,160,1896,3994,188,732,920,2886,610,24,846,740,4831
Rickie Winslow,203,102,University of Houston,1964,7,45,3,13,1,2,0,1,3,12,3,4,7,2,1,0,4,9,7
